Start Buffer: size=834
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [10, 88, 81, 11, 53, 20, 5640, 0, 148, 128]
Robot Data: [13, 39, 37, 13, 53, 20, 5920, 0, 163, 147]
Robot Data: [13, 7, 15, 12, 54, 20, 5640, 0, 140, 139]
Robot Data: [17, 5, 8, 14, 56, 20, 5360, 0, 111, 123]
Robot Data: [17, 4, 8, 15, 56, 20, 5080, 0, 91, 109]
Robot Data: [22, 5, 8, 17, 53, 20, 4800, 0, 89, 105]
Robot Data: [22, 5, 8, 19, 51, 20, 4520, 0, 82, 91]
Robot Data: [32, 7, 8, 26, 49, 20, 4240, 0, 79, 73]
Robot Data: [36, 8, 9, 30, 47, 20, 3960, 0, 68, 61]
Robot Data: [38, 9, 9, 34, 43, 20, 3680, 0, 64, 57]
Robot Data: [48, 10, 9, 40, 40, 20, 3400, 0, 60, 53]
Robot Data: [52, 13, 11, 44, 39, 20, 3120, 0, 49, 35]
Robot Data: [57, 14, 13, 49, 36, 20, 2840, 0, 37, 31]
Robot Data: [65, 18, 17, 55, 34, 20, 2560, 0, 19, 24]
Robot Data: [74, 20, 19, 63, 30, 4, 2600, 0, 29, 44]
Robot Data: [83, 24, 23, 69, 26, 4, 2600, -303, 47, 53]
Robot Data: [89, 27, 25, 76, 27, 4, 2600, -606, 61, 32]
Robot Data: [91, 29, 30, 82, 28, 4, 2600, -909, 67, 17]
Robot Data: [103, 36, 35, 89, 26, 4, 2600, -1212, 86, 11]
Robot Data: [114, 41, 34, 92, 26, 4, 2600, -1515, 91, 6]
Robot Data: [134, 53, 33, 93, 24, 4, 2600, -1818, 100, 13]
Robot Data: [155, 69, 31, 93, 25, 4, 2600, -2121, 95, 12]
Robot Data: [185, 96, 25, 89, 24, 4, 2600, -2424, 100, 16]
Robot Data: [207, 125, 20, 87, 24, 4, 2600, -2727, 97, 21]
Robot Data: [212, 161, 14, 76, 25, 4, 2600, -3030, 99, 14]
Robot Data: [215, 204, 13, 66, 24, 4, 2600, -3108, 103, 19]
Robot Data: [221, 251, 20, 63, 25, 4, 2600, -3108, 96, 20]
Robot Data: [233, 302, 27, 57, 25, 4, 2600, -3108, 93, 24]
Robot Data: [240, 349, 25, 48, 25, 4, 2600, -3108, 94, 24]
Robot Data: [249, 396, 29, 39, 26, 4, 2600, -3108, 85, 26]
Robot Data: [251, 456, 35, 29, 26, 4, 2600, -3108, 84, 27]
Robot Data: [248, 514, 37, 21, 27, 4, 2600, -3108, 82, 21]
Robot Data: [239, 515, 31, 15, 25, 4, 2600, -3108, 91, 27]
Robot Data: [228, 481, 30, 13, 25, 4, 2600, -3108, 93, 26]
Robot Data: [212, 438, 28, 17, 26, 4, 2600, -3108, 88, 25]
Robot Data: [193, 404, 27, 24, 26, 4, 2600, -3108, 88, 24]
Robot Data: [159, 345, 27, 22, 25, 4, 2600, -3108, 96, 24]
Robot Data: [125, 318, 21, 23, 26, 4, 2600, -2805, 84, 30]
Robot Data: [97, 331, 19, 27, 26, 4, 2600, -2502, 73, 40]
Robot Data: [69, 312, 18, 34, 26, 4, 2600, -2199, 65, 48]
Robot Data: [43, 284, 16, 37, 26, 4, 2600, -1896, 59, 55]
Robot Data: [26, 254, 14, 38, 26, 4, 2600, -1593, 51, 63]
Robot Data: [20, 227, 12, 38, 26, 4, 2600, -1290, 44, 70]
Robot Data: [26, 204, 12, 37, 26, 4, 2600, -987, 43, 70]
Robot Data: [38, 195, 13, 38, 26, 4, 2600, -684, 44, 70]
Robot Data: [47, 185, 11, 40, 26, 4, 2600, -381, 45, 68]
Robot Data: [53, 186, 14, 43, 26, 4, 2320, -78, 30, 53]
Robot Data: [55, 194, 16, 46, 24, 4, 2040, 0, 26, 38]
Robot Data: [53, 197, 19, 49, 22, 4, 2000, 0, 36, 38]
Robot Data: [54, 208, 23, 57, 22, 5, 2000, 0, 38, 34]
Robot Data: [55, 213, 23, 60, 21, 5, 2000, -303, 50, 28]
Robot Data: [54, 221, 26, 64, 20, 5, 2000, -606, 66, 18]
Robot Data: [58, 215, 27, 68, 20, 5, 2000, -909, 74, 11]
Robot Data: [71, 208, 27, 69, 20, 5, 2000, -1212, 80, 4]
Robot Data: [90, 195, 28, 68, 19, 5, 2000, -1515, 85, 7]
Robot Data: [102, 167, 25, 66, 19, 5, 2000, -1818, 89, 5]
