Start Buffer: size=422
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [8, 3, 98, 5, 14, 18, 1400, 0, 39, 32]
Robot Data: [7, 4, 100, 5, 14, 18, 1400, 0, 37, 34]
Robot Data: [7, 3, 102, 6, 14, 18, 1400, 0, 35, 36]
Robot Data: [7, 4, 105, 5, 14, 18, 1400, 0, 36, 36]
Robot Data: [7, 3, 104, 6, 15, 18, 1400, 0, 28, 36]
Robot Data: [7, 4, 106, 5, 14, 18, 1400, 0, 34, 36]
Robot Data: [6, 4, 108, 6, 14, 18, 1400, 0, 33, 37]
Robot Data: [6, 5, 105, 5, 14, 18, 1400, 0, 33, 37]
Robot Data: [7, 4, 99, 9, 14, 18, 1400, 0, 37, 33]
Robot Data: [5, 5, 100, 6, 14, 18, 1400, 0, 37, 33]
Robot Data: [6, 3, 98, 6, 14, 18, 1400, 0, 39, 31]
Robot Data: [6, 6, 99, 6, 13, 18, 1400, 0, 42, 36]
Robot Data: [6, 4, 99, 7, 14, 18, 1400, 0, 37, 34]
Robot Data: [6, 5, 103, 8, 14, 18, 1400, 0, 35, 36]
Robot Data: [5, 6, 102, 6, 14, 18, 1400, 0, 36, 36]
Robot Data: [7, 6, 103, 7, 14, 18, 1400, 0, 32, 39]
Robot Data: [6, 6, 100, 8, 15, 34, 1400, 0, 30, 33]
Robot Data: [8, 8, 100, 9, 14, 34, 1400, 0, 33, 37]
Robot Data: [7, 7, 100, 8, 13, 34, 1400, 0, 35, 42]
Robot Data: [6, 6, 100, 8, 14, 34, 1400, 0, 34, 37]
Robot Data: [9, 8, 98, 8, 14, 34, 1400, 0, 38, 33]
Robot Data: [8, 8, 99, 8, 14, 34, 1400, 0, 39, 32]
Robot Data: [7, 8, 98, 8, 14, 34, 1400, 0, 41, 30]
Robot Data: [8, 9, 96, 8, 15, 34, 1400, 0, 35, 29]
Robot Data: [7, 10, 100, 8, 13, 34, 1400, 0, 40, 37]
Robot Data: [6, 12, 102, 8, 14, 34, 1400, 0, 31, 40]
Robot Data: [6, 12, 104, 10, 14, 34, 1400, 0, 34, 37]
Robot Data: [6, 14, 105, 9, 13, 34, 1400, 0, 36, 43]
Robot Data: [7, 15, 104, 8, 15, 34, 1400, 0, 27, 37]
Robot Data: [7, 15, 102, 10, 14, 34, 1400, 0, 31, 41]
Robot Data: [7, 17, 100, 9, 14, 34, 1400, 0, 36, 35]
Robot Data: [8, 18, 99, 9, 13, 34, 1400, 0, 43, 36]
Robot Data: [7, 18, 98, 10, 15, 34, 1400, 0, 37, 27]
Robot Data: [8, 22, 99, 10, 14, 34, 1400, 0, 42, 29]
Robot Data: [9, 24, 100, 11, 14, 34, 1400, 0, 38, 33]
Robot Data: [9, 27, 102, 12, 14, 34, 1400, 0, 35, 36]
Robot Data: [8, 29, 102, 11, 14, 34, 1400, 0, 34, 37]
Robot Data: [9, 29, 102, 11, 14, 34, 1400, 0, 32, 39]
Robot Data: [8, 35, 105, 12, 15, 34, 1400, 0, 28, 35]
Robot Data: [9, 38, 108, 11, 14, 34, 1400, 0, 32, 38]
Robot Data: [8, 42, 110, 11, 14, 34, 1400, 0, 28, 42]
Robot Data: [8, 43, 103, 12, 13, 34, 1400, 0, 36, 42]
Robot Data: [9, 43, 100, 12, 15, 34, 1400, 0, 30, 33]
Robot Data: [8, 47, 99, 14, 14, 34, 1400, 0, 33, 37]
Robot Data: [10, 51, 98, 13, 14, 34, 1400, 0, 31, 39]
Robot Data: [10, 55, 98, 14, 14, 34, 1400, 0, 36, 34]
Robot Data: [9, 67, 100, 14, 14, 34, 1400, 0, 39, 31]
Robot Data: [11, 71, 95, 15, 14, 34, 1400, 0, 38, 32]
Robot Data: [10, 84, 95, 15, 14, 34, 1400, 0, 38, 32]
Robot Data: [11, 92, 92, 15, 14, 34, 1400, 0, 40, 30]
Robot Data: [11, 93, 91, 15, 14, 34, 1400, 0, 38, 32]
Robot Data: [13, 103, 98, 16, 14, 34, 1400, 0, 38, 32]
Robot Data: [13, 95, 96, 16, 14, 34, 1400, 0, 34, 36]
Robot Data: [13, 72, 98, 16, 14, 34, 1400, 0, 31, 39]
Robot Data: [13, 43, 97, 17, 14, 34, 1400, 0, 30, 40]
Robot Data: [14, 24, 101, 18, 13, 34, 1400, 0, 34, 44]
Robot Data: [13, 17, 100, 16, 14, 34, 1400, 0, 36, 35]
Robot Data: [13, 14, 98, 18, 15, 34, 1400, 0, 34, 30]
Robot Data: [14, 12, 97, 19, 14, 34, 1400, 0, 39, 31]
