Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
8,17,99,11,19,34,2000,303,39,47,19,-3,3770,670.44392229828,355.673168328,41.164714285671,1.404,1.692,2,2
8,21,98,12,19,34,2000,606,27,61,20,-4,3789,673.822817397396,355.673168328,82.329428571342,0.972,2.1959999999999997,2,2
8,22,98,12,18,34,2000,909,26,71,20,-4,3807,677.023875912348,355.673168328,123.49414285701302,0.9359999999999999,2.5559999999999996,2,2
9,23,94,12,19,34,2000,1212,14,77,21,-3,3826,680.402771011464,355.673168328,164.658857142684,0.504,2.772,2,2
10,21,84,13,18,34,2000,1515,8,92,23,-3,3844,683.603829526416,355.673168328,205.82357142835502,0.288,3.312,2,2
10,20,73,13,19,34,2000,1818,0,95,23,-3,3863,686.982724625532,355.673168328,246.98828571402603,0.0,3.42,2,2
12,17,56,13,18,34,2000,2121,5,99,25,-1,3881,690.183783140484,355.673168328,288.15299999969704,0.18,3.5639999999999996,2,2
32,11,37,11,19,34,2000,2424,2,96,43,21,3900,693.5626782396,355.673168328,329.317714285368,0.072,3.4559999999999995,2,2
65,8,22,10,19,34,2000,2727,5,94,75,55,3919,696.941573338716,355.673168328,370.482428571039,0.18,3.384,2,2
64,5,11,10,19,34,2000,3030,5,95,74,54,3938,700.320468437832,355.673168328,411.64714285671005,0.18,3.42,2,2
62,3,10,9,19,34,2000,3108,11,90,71,53,3957,703.699363536948,355.673168328,422.243999999556,0.39599999999999996,3.2399999999999998,2,2
54,3,15,7,20,34,2000,3108,9,86,61,47,3977,707.256095220228,355.673168328,422.243999999556,0.32399999999999995,3.0959999999999996,2,2
40,5,15,7,19,34,2000,3108,16,86,47,33,3996,710.634990319344,355.673168328,422.243999999556,0.576,3.0959999999999996,2,2
29,5,16,6,19,34,2000,3108,20,83,35,23,4015,714.01388541846,355.673168328,422.243999999556,0.72,2.988,2,2
21,5,19,5,20,34,2000,3108,20,76,26,16,4035,717.57061710174,355.673168328,422.243999999556,0.72,2.7359999999999998,2,2
12,4,26,4,20,34,2000,3108,22,75,16,8,4055,721.12734878502,355.673168328,422.243999999556,0.7919999999999999,2.6999999999999997,2,2
7,4,25,8,20,34,2000,3108,20,77,15,-1,4075,724.6840804683,355.673168328,422.243999999556,0.72,2.772,2,2
2,2,23,47,19,34,2000,3108,20,85,49,-45,4094,728.062975567416,355.673168328,422.243999999556,0.72,3.0599999999999996,2,2
3,4,18,92,21,34,2000,3108,11,79,95,-89,4115,731.79754383486,355.673168328,422.243999999556,0.39599999999999996,2.844,2,2
4,3,20,83,19,34,2000,3108,19,86,87,-79,4134,735.176438933976,355.673168328,422.243999999556,0.6839999999999999,3.0959999999999996,2,2
4,5,76,60,20,34,2000,3108,11,86,64,-56,4154,738.733170617256,355.673168328,422.243999999556,0.39599999999999996,3.0959999999999996,2,2
4,10,319,41,20,34,2000,3108,12,86,45,-37,4174,742.289902300536,355.673168328,422.243999999556,0.43199999999999994,3.0959999999999996,2,2
6,18,315,24,20,34,2000,2805,20,78,30,-18,4194,745.846633983816,355.673168328,381.07928571388504,0.72,2.808,2,2
9,31,291,10,20,34,2000,2502,32,65,19,-1,4214,749.403365667096,355.673168328,339.91457142821406,1.152,2.34,2,2
7,47,244,4,21,34,2000,2199,36,54,11,3,4235,753.13793393454,355.673168328,298.749857142543,1.2959999999999998,1.944,2,2
6,66,203,4,20,34,2000,1896,46,51,10,2,4255,756.69466561782,355.673168328,257.58514285687204,1.656,1.8359999999999999,2,2
4,82,165,5,19,34,2000,1593,64,40,9,-1,4274,760.073560716936,355.673168328,216.42042857120103,2.304,1.44,2,2
6,96,133,6,20,34,2000,1290,65,33,12,0,4294,763.630292400216,355.673168328,175.25571428553002,2.34,1.188,2,2
